id	label	x	y
sample1	Mp2p6p	2265	746
sample1	CD20ng	592	746
sample1	CD20ng	2353	747
sample1	Mp2p6p	2226	748
sample1	CD20ng	2499	751
sample1	CD20ng	683	754
sample1	Mn2n6n	1770	753
sample1	Mn2n6n	1805	752
sample1	Mn2n6p	1533	755
sample1	Mp2p6p	1936	757
sample1	Mn2p6n	1744	761
sample1	Mn2p6p	1781	757
sample1	CD20ng	1839	758
sample1	Mn2p6p	1479	760
sample1	Mn2n6p	1637	760
sample1	CD20ng	2117	764
sample1	Mn2p6p	937	764
sample1	Mn2p6n	795	766
sample1	CD20ng	825	763
sample1	Mn2n6n	1078	765
sample1	Mp2p6p	1254	763
sample1	Mn2p6n	1559	764
sample1	Mp2p6p	1929	766
sample1	CD20ng	2505	767
sample1	Mp2p6p	2306	766
sample1	Mn2p6p	1093	767
sample1	Mn2p6p	955	769
sample1	Mp2p6p	2488	770
sample1	Mn2n6n	1500	773
sample1	Mn2p6p	1794	771
sample1	Mp2p6p	573	773
sample1	CD20ng	803	775
sample1	Mp2p6p	1028	778
sample1	Mn2p6p	1474	776
sample1	Mn2p6p	686	777
sample1	Mp2p6p	1178	778
sample1	CD20ng	1294	779
sample1	CD20ng	1448	777
sample1	Mn2p6p	1809	774
sample1	Mn2n6n	1407	778
sample1	Mp2p6p	485	776
sample1	Mp2p6n	1892	781
sample1	CD20ng	818	779
sample1	CD20ng	1200	785
sample1	Mn2p6p	1536	780
sample1	Mn2p6p	1651	782
sample1	CD20ng	1308	781
sample1	Mn2p6n	1615	784
sample1	Mn2n6p	1907	792
sample1	Mn2p6p	509	793
sample1	Mn2n6n	1687	793
sample1	Mn2p6p	1698	793
sample1	Mn2p6p	1401	795
sample1	CD20ng	1964	796
sample1	Mn2n6p	1901	800
sample1	Mn2p6p	490	801
sample1	Mn2p6p	1878	798
sample1	CD20ng	2060	798
sample1	Mn2p6p	1383	799
sample1	Mn2p6p	1083	801
sample1	Mn2p6n	1817	803
sample1	Mp2p6p	1785	810
sample1	Mn2p6p	1149	805
sample1	Mp2p6p	2251	809
sample1	Mn2p6p	1274	808
sample1	Mp2p6p	542	808
sample1	Mn2n6p	663	807
sample1	Mp2n6p	1332	808
sample1	Mn2p6n	1705	808
sample1	CD20ng	2383	811
sample1	Mn2p6n	2420	809
sample1	Mn2p6p	1803	810
sample1	CD20ng	888	810
sample1	CD20ng	1579	816
sample1	Mn2p6p	1891	816
sample1	Mn2p6p	613	816
sample1	Mp2p6p	504	817
sample1	Mn2p6n	1482	816
sample1	Mn2p6n	792	818
sample1	Mn2p6p	1762	818
sample1	Mn2p6p	2307	818
sample1	Mn2p6n	1599	820
sample1	CD20ng	1068	817
sample1	Mn2p6p	2260	821
sample1	Mn2p6p	2328	818
sample1	Mp2n6p	1183	826
sample1	Mn2p6p	1618	823
sample1	Mn2n6n	1877	825
sample1	Mp2p6p	994	822
sample1	CD20ng	1050	822
sample1	CD20ng	731	826
sample1	Mn2p6p	1472	826
sample1	Mn2p6p	2300	829
sample1	Mn2p6p	1365	827
sample1	Mn2p6n	1805	828
sample1	CD20ng	2027	830
sample1	Mp2p6p	2206	829
sample1	CD20ng	2531	830
sample1	Mp2p6p	545	828
sample1	Mp2p6p	762	827
sample1	Mn2n6p	1537	829
sample1	Mn2p6p	1267	828
sample1	Mp2p6p	1762	832
sample1	Mn2n6p	1707	834
sample1	Mn2n6p	1609	835
sample1	Mp2p6p	794	839
sample1	Mp2n6p	1138	836
sample1	Mn2p6p	1677	837
sample1	Mn2p6p	1779	839
sample1	Mp2p6p	766	839
sample1	Mn2p6p	1640	840
sample1	Mn2p6p	1845	840
sample1	Mn2p6p	2196	841
sample1	Mp2p6p	1072	843
sample1	Mn2n6n	1762	844
sample1	Mn2p6p	1517	843
sample1	CD20ng	722	843
sample1	Mn2n6n	1320	845
sample1	Mp2p6p	1981	845
sample1	Mn2p6p	1274	847
sample1	CD20ng	1473	849
sample1	Mp2p6p	2178	850
sample1	Mp2p6p	1138	850
sample1	Mn2p6p	564	852
sample1	Mn2p6p	2427	853
sample1	Mp2p6n	728	856
sample1	Mn2p6p	1855	855
sample1	Mp2p6p	1217	862
sample1	Mn2n6n	1464	861
sample1	CD20ng	2529	861
sample1	Mn2p6p	1521	859
sample1	Mn2p6p	1453	863
sample1	CD20ng	1924	861
sample1	CD20ng	2471	865
sample1	CD20ng	662	866
sample1	CD20ng	1199	868
sample1	Mn2n6p	1443	869
sample1	Mn2n6n	1064	871
sample1	Mn2p6p	1282	872
sample1	Mn2n6p	2369	869
sample1	Mn2n6n	1765	869
sample1	CD20ng	1849	868
sample1	Mn2n6p	1780	870
sample1	CD20ng	704	877
sample1	CD20ng	1985	874
sample1	CD20ng	884	875
sample1	Mn2n6n	1487	875
sample1	Mn2n6n	1588	874
sample1	Mp2p6p	2183	875
sample1	Mn2p6n	1812	878
sample1	Mn2p6p	1451	880
sample1	Mp2n6n	1646	880
sample1	CD20ng	869	882
sample1	CD20ng	2485	883
sample1	Mp2n6p	1080	884
sample1	CD20ng	1741	885
sample1	CD20ng	2420	883
sample1	Mn2p6n	1570	887
sample1	CD20ng	2527	884
sample1	Mn2n6p	1309	889
sample1	Mn2p6p	1788	885
sample1	CD20ng	1606	887
sample1	CD20ng	1714	888
sample1	Mp2p6p	2179	888
sample1	Mn2n6p	1321	892
sample1	CD20ng	1524	884
sample1	CD20ng	2470	891
sample1	Mn2n6p	1462	892
sample1	CD20ng	1096	891
sample1	CD20ng	909	895
sample1	Mn2p6p	1818	896
sample1	Mn2n6n	2235	896
sample1	Mp2p6p	565	902
sample1	Mn2p6p	1653	897
sample1	CD20ng	485	897
sample1	CD20ng	776	898
sample1	CD20ng	1766	900
sample1	Mp2n6n	1687	901
sample1	CD20ng	2040	902
sample1	Mp2p6p	831	903
sample1	CD20ng	1584	902
sample1	Mn2n6p	1856	905
sample1	CD20ng	2446	905
sample1	Mn2n6p	1644	907
sample1	Mp2p6n	598	910
sample1	CD20ng	475	912
sample1	Mn2p6p	688	910
sample1	CD20ng	1353	914
sample1	Mn2p6p	1904	911
sample1	CD20ng	1604	908
sample1	Mn2p6p	1414	916
sample1	Mn2p6n	1944	911
sample1	Mn2p6p	1702	913
sample1	CD20ng	1243	916
sample1	Mn2n6p	1320	917
sample1	Mn2p6p	1914	920
sample1	CD20ng	2440	920
sample1	CD20ng	540	919
sample1	Mn2n6p	1458	915
sample1	Mn2p6p	1891	918
sample1	Mn2p6p	1585	923
sample1	Mn2p6p	946	922
sample1	CD20ng	519	923
sample1	CD20ng	2195	925
sample1	Mn2p6p	1693	925
sample1	Mn2p6p	792	924
sample1	Mp2p6p	500	925
sample1	CD20ng	2274	927
sample1	Mn2p6n	1648	929
sample1	Mn2n6p	1881	928
sample1	Mp2p6p	1422	928
sample1	Mn2n6p	1524	930
sample1	Mp2p6p	883	931
sample1	Mn2p6n	1669	932
sample1	Mn2n6p	1395	933
sample1	CD20ng	2506	938
sample1	Mp2p6p	539	939
sample1	Mp2n6n	1434	940
sample1	Mn2n6p	1908	936
sample1	CD20ng	2010	940
sample1	CD20ng	2381	939
sample1	Mn2n6p	1473	936
sample1	CD20ng	1513	939
sample1	Mn2n6p	1642	947
sample1	Mn2p6p	1839	942
sample1	Mn2p6p	601	943
sample1	Mn2n6n	1525	945
sample1	Mp2n6p	1143	944
sample1	Mn2p6p	2198	946
sample1	Mn2n6p	2399	948
sample1	Mp2n6p	1030	948
sample1	Mp2n6p	1131	946
sample1	CD20ng	954	947
sample1	Mn2p6p	2469	955
sample1	Mn2p6p	711	949
sample1	Mn2n6n	2335	950
sample1	Mn2p6p	1225	953
sample1	Mn2p6p	689	956
sample1	CD20ng	2379	955
sample1	Mn2p6p	1575	958
sample1	Mn2p6p	497	960
sample1	Mp2p6p	1017	959
sample1	Mn2p6p	1147	960
sample1	Mn2n6n	1530	959
sample1	CD20ng	669	958
